Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
85,2018-08-15,562.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,16.0,9638.0,602.375,9004.0,0,-634.0,53160.25,44156.25,44156.25,0.0,0,0,0.0,0.0,0.0,-634.0,-156.0,1,-0.01268,-0.00312,0.0
86,2018-08-16,575.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,16.0,9638.0,602.375,9200.0,0,-438.0,53356.25,44156.25,44156.25,0.0,0,0,0.0,0.0,0.0,-438.0,196.0,1,-0.00876,0.00392,0.0
87,2018-08-17,592.0,BOT,9.0,577.0,2018-08-17,WEAT US EQUITY_1KWC2 COMDTY_14,ENTER,,2018-08-17,,577.0,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,14831.0,593.24,14800.0,0,-31.0,53763.25,38963.25,44156.25,-5193.0,0,0,0.0,0.0,0.0,-31.0,407.0,1,-0.00062,0.00814,0.0
88,2018-08-20,574.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,14831.0,593.24,14368.75,0,-462.25,53332.0,38963.25,38963.25,0.0,0,0,0.0,0.0,0.0,-462.25,-431.25,1,-0.009245,-0.008625,0.0
89,2018-08-21,562.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,14831.0,593.24,14056.25,0,-774.75,53019.5,38963.25,38963.25,0.0,0,0,0.0,0.0,0.0,-774.75,-312.5,1,-0.015495,-0.00625,0.0
90,2018-08-22,557.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,14831.0,593.24,13931.25,0,-899.75,52894.5,38963.25,38963.25,0.0,0,0,0.0,0.0,0.0,-899.75,-125.0,1,-0.017995,-0.0025,0.0
91,2018-08-23,554.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,25.0,14831.0,593.24,13862.5,0,-968.5,52825.75,38963.25,38963.25,0.0,0,0,0.0,0.0,0.0,-968.5,-68.75,1,-0.01937,-0.001375,0.0
92,2018-08-24,546.75,BOT,9.0,555.5,2018-08-24,WEAT US EQUITY_1KWC2 COMDTY_15,ENTER,,2018-08-24,,555.5,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,34.0,19830.5,583.25,18589.5,0,-1241.0,52553.25,33963.75,38963.25,-4999.5,0,0,0.0,0.0,0.0,-1241.0,-272.5,1,-0.02482,-0.00545,0.0
93,2018-08-27,530.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,34.0,19830.5,583.25,18020.0,0,-1810.5,51983.75,33963.75,33963.75,0.0,0,0,0.0,0.0,0.0,-1810.5,-569.5,1,-0.03621,-0.01139,0.0
94,2018-08-28,527.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,34.0,19830.5,583.25,17943.5,0,-1887.0,51907.25,33963.75,33963.75,0.0,0,0,0.0,0.0,0.0,-1887.0,-76.5,1,-0.03774,-0.00153,0.0
95,2018-08-29,549.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,34.0,19830.5,583.25,18674.5,0,-1156.0,52638.25,33963.75,33963.75,0.0,0,0,0.0,0.0,0.0,-1156.0,731.0,1,-0.02312,0.01462,0.0
96,2018-08-30,541.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,34.0,19830.5,583.25,18394.0,0,-1436.5,52357.75,33963.75,33963.75,0.0,0,0,0.0,0.0,0.0,-1436.5,-280.5,1,-0.02873,-0.00561,0.0
97,2018-08-31,553.25,SLD,-8.0,542.25,2018-08-31,WEAT US EQUITY_1KWC2 COMDTY_12,EXIT,,2018-08-31,,542.25,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,26.0,15164.5,583.25,14384.5,0,-780.0,52686.25,38301.75,33963.75,4338.0,0,1,-328.0,-0.07029575653664809,-328.0,-1108.0,328.5,1,-0.02216,0.00657,-0.00656
98,2018-08-31,553.25,SLD,-8.0,542.25,2018-08-31,WEAT US EQUITY_1KWC2 COMDTY_13,EXIT,,2018-08-31,,542.25,0,./Chagoi_wheat_futures_2018-05-01_2018-10-31/signal_only_2WEAT US EQUITY/tradelog/WEAT US EQUITY_1KWC2 COMDTY.csv,18.0,10498.5,583.25,9958.5,0,-540.0,52598.25,42639.75,38301.75,4338.0,0,1,-328.0,-0.07029575653664809,-328.0,-868.0,-88.0,1,-0.01736,-0.00176,-0.00656
