,PX_HIGH,PX_LAST,PX_OPEN,PX_LOW,PX_VOLUME,TR.TSVWAP,date,dates,pxs,totalcost,end_capital,investment_mv,unrealized_gl,realized_gl,total_gl,dailyreturn,win,loss,realized_before_commission,realized_return_pertrade,holding,long_mv,short_mv,cashflow,net_mv,gross_mv,dailyreturn_realized_percent,dailyreturn_total_percent,realized_return,total_return
38,6.33,6.28,6.33,6.24,154632.0,6.2848,2018-06-25,2018-06-25,6.28,78875.5,170127.25,71159.5,-7716.0,0.0,-7716.0,-2338.75,0,0,0.0,0.0,3,71159.5,0.0,0.0,71159.5,71159.5,0.0,-0.06711479006881631,0.0,-0.06711479006881631
39,6.33,6.19,6.33,6.164,137019.0,6.2121,2018-06-26,2018-06-26,6.19,78875.5,170127.25,69659.0,-9216.5,0.0,-9216.5,-1500.5,0,0,0.0,0.0,3,69659.0,0.0,0.0,69659.0,69659.0,0.0,-0.043059644039875514,0.0,-0.043059644039875514
40,6.26,6.22,6.2,6.2,82825.0,6.224,2018-06-27,2018-06-27,6.22,78875.5,170127.25,69802.75,-9072.75,0.0,-9072.75,143.75,0,0,0.0,0.0,3,69802.75,0.0,0.0,69802.75,69802.75,0.0,0.004125174162433925,0.0,0.004125174162433925
41,6.2564,6.16,6.25,6.155,132799.0,6.1873,2018-06-28,2018-06-28,6.16,78875.5,170127.25,68963.75,-9911.75,0.0,-9911.75,-839.0,0,0,0.0,0.0,3,68963.75,0.0,0.0,68963.75,68963.75,0.0,-0.02407666867674479,0.0,-0.02407666867674479
42,6.449,6.38,6.24,6.24,304645.0,6.3725,2018-06-29,2018-06-29,6.38,93421.5,155581.25,85685.0,-7736.5,0.0,-7736.5,2175.25,0,0,0.0,0.0,3,85685.0,0.0,-14546.0,85685.0,85685.0,0.0,0.062422852847543626,0.0,0.062422852847543626
43,6.4,6.13,6.4,6.12,201047.0,6.1936,2018-07-02,2018-07-02,6.13,93421.5,155581.25,82782.25,-10639.25,0.0,-10639.25,-2902.75,0,0,0.0,0.0,3,82782.25,0.0,0.0,82782.25,82782.25,0.0,-0.08329982121742663,0.0,-0.08329982121742663
44,6.28,6.25,6.28,6.2106,135342.0,6.2401,2018-07-03,2018-07-03,6.25,93421.5,106498.25,84840.5,-8581.0,0.0,-8581.0,2058.25,0,0,0.0,0.0,3,84840.5,0.0,0.0,84840.5,84840.5,0.0,0.05906531979011915,0.0,0.05906531979011915
45,6.42,6.38,6.3,6.3,179427.0,6.3664,2018-07-05,2018-07-05,6.38,93421.5,155581.25,87900.75,-5520.75,0.0,-5520.75,3060.25,0,0,0.0,0.0,3,87900.75,0.0,0.0,87900.75,87900.75,0.0,0.08781957725626728,0.0,0.08781957725626728
46,6.52,6.52,6.38,6.34,97474.0,6.4444,2018-07-06,2018-07-06,6.52,78971.0,168888.75,76179.75,-2791.25,-1143.0,-3934.25,1586.5,0,5,-1143.0,-0.23423091110291405,2,76179.75,0.0,13307.5,76179.75,76179.75,-0.03280051525330071,0.045527574321401205,-0.03280051525330071,0.045527574321401205
47,6.48,6.46,6.48,6.41,59833.0,6.4394,2018-07-09,2018-07-09,6.46,78971.0,119805.75,75006.0,-3965.0,0.0,-3965.0,-1173.75,0,0,0.0,0.0,2,75006.0,0.0,0.0,75006.0,75006.0,0.0,-0.03368294381326484,0.0,-0.03368294381326484
