Unnamed: 0,Date,closeprice,executeddate,Side,Shares,Price,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
20,2015-05-28,488.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,51173.5,51173.5,51173.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
21,2015-05-29,477.0,2015-05-29,BOT,10.0,488.0,WEAT US EQUITY_WC1 COMDTY_3,ENTER,,2015-05-29,,488.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4880.0,488.0,4770.0,0,-110.0,51063.5,46293.5,51173.5,-4880.0,0,0,0.0,0.0,0.0,-110.0,-110.0,1,-0.0022,-0.0022,0.0
22,2015-06-01,493.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4880.0,488.0,4937.5,0,57.5,51231.0,46293.5,46293.5,0.0,0,0,0.0,0.0,0.0,57.5,167.5,1,0.00115,0.00335,0.0
23,2015-06-02,512.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4880.0,488.0,5125.0,0,245.0,51418.5,46293.5,46293.5,0.0,0,0,0.0,0.0,0.0,245.0,187.5,1,0.0049,0.00375,0.0
24,2015-06-03,510.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4880.0,488.0,5107.5,0,227.5,51401.0,46293.5,46293.5,0.0,0,0,0.0,0.0,0.0,227.5,-17.5,1,0.00455,-0.00035,0.0
25,2015-06-04,523.75,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,10.0,4880.0,488.0,5237.5,0,357.5,51531.0,46293.5,46293.5,0.0,0,0,0.0,0.0,0.0,357.5,130.0,1,0.00715,0.0026,0.0
26,2015-06-05,517.0,2015-06-05,BOT,10.0,525.0,WEAT US EQUITY_WC1 COMDTY_4,ENTER,,2015-06-05,,525.0,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,20.0,10130.0,506.5,10340.0,0,210.0,51383.5,41043.5,46293.5,-5250.0,0,0,0.0,0.0,0.0,210.0,-147.5,1,0.0042,-0.00295,0.0
27,2015-06-08,528.0,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,20.0,10130.0,506.5,10560.0,0,430.0,51603.5,41043.5,41043.5,0.0,0,0,0.0,0.0,0.0,430.0,220.0,1,0.0086,0.0044,0.0
28,2015-06-09,532.25,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,20.0,10130.0,506.5,10645.0,0,515.0,51688.5,41043.5,41043.5,0.0,0,0,0.0,0.0,0.0,515.0,85.0,1,0.0103,0.0017,0.0
29,2015-06-10,513.5,,,,,,,,,,,0,./Chagoi_wheat_futures_2015-05-01_2015-10-31/signal_only_7WEAT US EQUITY/tradelog/WEAT US EQUITY_WC1 COMDTY.csv,20.0,10130.0,506.5,10270.0,0,140.0,51313.5,41043.5,41043.5,0.0,0,0,0.0,0.0,0.0,140.0,-375.0,1,0.0028,-0.0075,0.0
